sku_id,category,subcategory,on_hand_units,on_order_units,lead_time_days,reorder_point,unit_cost,list_price,forecast_horizon_demand,forecast_horizon_upper,avg_weekly_forecast,lead_time_weeks,lead_time_demand,available_stock,stockout_gap,stockout_risk,overstock_excess,overstock_risk,quadrant,recommended_action,sales_at_risk_inr,capital_locked_inr,revenue_at_stake_inr
SKU0059,Decor,Lighting,3993.0,0.0,21.0,2090.0,3126.52,8001.06,1129.3403422493568,1255.3276831562757,188.2233903748928,3.0,649.3706967933801,3993.0,-3343.6293032066196,0.0,2487.2128770008576,1.0,Markdown / Clear,Promote or discount to free up capital.,0.0,7776320.804200721,7776320.804200721
SKU0033,Furniture,Seating,0.0,0.0,21.0,666.0,3176.4,8786.53,1500.484056319113,1626.4713972260322,250.0806760531855,3.0,862.7783323834899,0.0,862.7783323834899,1.0,-2000.645408425484,0.0,Reorder Now,Raise a replenishment order before stock runs out.,7580827.700837506,0.0,7580827.700837506
SKU0012,Furniture,Seating,0.0,0.0,21.0,259.0,3457.59,6502.78,1577.5878688936173,1703.5752098005364,262.93131148226956,3.0,907.1130246138299,0.0,907.1130246138299,1.0,-2103.4504918581565,0.0,Reorder Now,Raise a replenishment order before stock runs out.,5898756.434198321,0.0,5898756.434198321
SKU0025,Decor,Wall Art,0.0,0.0,14.0,329.0,3357.28,8982.04,1668.6627287960282,1794.6500697029473,278.110454799338,2.0,639.6540460384774,0.0,639.6540460384774,1.0,-2224.883638394704,0.0,Reorder Now,Raise a replenishment order before stock runs out.,5745398.227679446,0.0,5745398.227679446
SKU0001,Small Appliances,Climate,0.0,0.0,21.0,771.0,3476.81,8472.44,1010.3092622197431,1136.2966031266621,168.38487703662386,3.0,580.9278257763523,0.0,580.9278257763523,1.0,-1347.079016292991,0.0,Reorder Now,Raise a replenishment order before stock runs out.,4921876.148220599,0.0,4921876.148220599
SKU0004,Small Appliances,Cleaning,0.0,0.0,10.0,312.0,3891.58,10397.31,1144.1290450577717,1270.1163859646908,190.6881741762953,1.4285714285714286,313.2734290039137,0.0,313.2734290039137,1.0,-1525.5053934103623,0.0,Reorder Now,Raise a replenishment order before stock runs out.,3257200.956116682,0.0,3257200.956116682
SKU0049,Small Appliances,Cleaning,0.0,0.0,10.0,356.0,3924.41,10056.03,1103.8300452663784,1229.8173861732976,183.97167421106306,1.4285714285714286,302.23917906103213,0.0,302.23917906103213,1.0,-1471.7733936885045,0.0,Reorder Now,Raise a replenishment order before stock runs out.,3039326.2518131114,0.0,3039326.2518131114
SKU0023,Small Appliances,Climate,0.0,0.0,10.0,1148.0,3196.12,5431.09,1821.5373003346708,1947.52464124159,303.5895500557785,1.4285714285714286,498.7542608059218,0.0,498.7542608059218,1.0,-2428.716400446228,0.0,Reorder Now,Raise a replenishment order before stock runs out.,2708779.2783204336,0.0,2708779.2783204336
SKU0009,Small Appliances,Cleaning,0.0,0.0,7.0,160.0,2909.11,7380.05,1420.8260310507158,1546.813371957635,236.80433850845262,1.0,272.3249892847205,0.0,272.3249892847205,1.0,-1894.434708067621,0.0,Reorder Now,Raise a replenishment order before stock runs out.,2009772.0371707017,0.0,2009772.0371707017
SKU0036,Furniture,Tables,228.0,0.0,14.0,330.0,3731.98,7751.67,1244.6424863492996,1370.6298272562187,207.44041439154992,2.0,477.11295310056477,228.0,249.11295310056477,0.5221257387410677,-1431.5233151323994,0.0,Reorder Now,Raise a replenishment order before stock runs out.,1931041.4051610548,0.0,1931041.4051610548
