sku_id,week_start,step,forecast,lower_80,upper_80
SKU0001,2025-12-29,1,153.77503577690192,132.77714562574874,174.7729259280551
SKU0002,2025-12-29,1,150.2909754455587,129.29308529440553,171.28886559671187
SKU0003,2025-12-29,1,153.2450216023309,132.24713145117772,174.24291175348407
SKU0004,2025-12-29,1,172.81170695965443,151.81381680850126,193.8095971108076
SKU0005,2025-12-29,1,183.76136628272553,162.76347613157236,204.7592564338787
SKU0006,2025-12-29,1,186.28501826594993,165.28712811479676,207.2829084171031
SKU0007,2025-12-29,1,204.66315491000032,183.66526475884714,225.6610450611535
SKU0008,2025-12-29,1,206.66563634882363,185.66774619767045,227.6635264999768
SKU0009,2025-12-29,1,214.67203496866625,193.67414481751308,235.66992511981942
SKU0010,2025-12-29,1,235.7288867413708,214.73099659021761,256.72677689252396
SKU0011,2025-12-29,1,232.71517618494258,211.7172860337894,253.71306633609575
SKU0012,2025-12-29,1,257.8257021261177,236.8278119749645,278.82359227727085
SKU0013,2025-12-29,1,268.0052010931019,247.00731094194873,289.0030912442551
SKU0014,2025-12-29,1,260.90268610442195,239.90479595326877,281.9005762555751
SKU0015,2025-12-29,1,257.5934642883792,236.59557413722604,278.5913544395324
SKU0016,2025-12-29,1,274.4494194874948,253.45152933634165,295.447309638648
SKU0017,2025-12-29,1,260.94823254565716,239.950342394504,281.94612269681033
SKU0018,2025-12-29,1,312.5647440663466,291.5668539151934,333.56263421749975
SKU0019,2025-12-29,1,273.51283433934583,252.51494418819266,294.510724490499
SKU0020,2025-12-29,1,289.3249252785244,268.32703512737123,310.3228154296776
SKU0021,2025-12-29,1,304.04397743326786,283.0460872821147,325.041867584421
SKU0022,2025-12-29,1,309.9199039247589,288.9220137736057,330.91779407591207
SKU0023,2025-12-29,1,312.22042582249765,291.2225356713445,333.2183159736508
SKU0024,2025-12-29,1,266.33093714937274,245.33304699821957,287.3288273005259
SKU0025,2025-12-29,1,273.9176985942904,252.91980844313724,294.9155887454436
SKU0026,2025-12-29,1,317.49673110861096,296.4988409574578,338.49462125976413
SKU0027,2025-12-29,1,289.54918446111765,268.5512943099645,310.5470746122708
SKU0028,2025-12-29,1,279.7012260907138,258.70333593956065,300.699116241867
SKU0029,2025-12-29,1,300.07971363269166,279.0818234815385,321.07760378384484
SKU0030,2025-12-29,1,271.1837998871395,250.18590973598634,292.1816900382927
SKU0031,2025-12-29,1,293.1818651748942,272.183975023741,314.17975532604737
SKU0032,2025-12-29,1,340.0552930887654,319.0574029376122,361.05318323991855
SKU0033,2025-12-29,1,277.8356691926337,256.83777904148053,298.8335593437869
SKU0034,2025-12-29,1,291.63661281368303,270.63872266252986,312.6345029648362
SKU0035,2025-12-29,1,250.00308728759325,229.00519713644007,271.0009774387464
SKU0036,2025-12-29,1,244.93954786322823,223.94165771207506,265.9374380143814
SKU0037,2025-12-29,1,238.21922717533386,217.22133702418068,259.217117326487
SKU0038,2025-12-29,1,224.1942217634029,203.19633161224974,245.19211191455608
SKU0039,2025-12-29,1,207.08676843203392,186.08887828088075,228.0846585831871
SKU0040,2025-12-29,1,205.95930346405586,184.9614133129027,226.95719361520904
SKU0041,2025-12-29,1,177.617029777937,156.61913962678383,198.61491992909018
SKU0042,2025-12-29,1,187.22235243072856,166.2244622795754,208.22024258188173
SKU0043,2025-12-29,1,192.40149151637127,171.4036013652181,213.39938166752444
SKU0044,2025-12-29,1,168.61990386351263,147.62201371235946,189.6177940146658
SKU0045,2025-12-29,1,170.86408186982464,149.86619171867147,191.86197202097782
SKU0046,2025-12-29,1,171.36207317496175,150.36418302380858,192.35996332611492
SKU0047,2025-12-29,1,187.54215510977852,166.54426495862535,208.5400452609317
